	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
272	-1.0	-127.894737	0.0
273	-1.0	-76.736842	0.0
274	-1.0	-25.578947	0.0
275	-1.0	25.578947	1.0
276	-1.0	76.736842	0.0
277	90.0	-281.368421	1.0
278	-1.0	179.052632	0.0
279	-1.0	230.210526	0.0
280	-1.0	281.368421	1.0
281	-1.0	332.526316	1.0
282	90.0	-25.578947	0.0
283	-1.0	434.842105	0.0
284	-1.0	486.0	1.0
285	-1.0	-486.0	0.0
286	0.0	-230.210526	1.0
287	-1.0	-383.684211	0.0
288	-1.0	-332.526316	0.0
289	-1.0	-281.368421	1.0
290	-1.0	-230.210526	0.0
291	-1.0	-179.052632	0.0
292	0.0	-127.894737	0.0
293	-1.0	-76.736842	1.0
294	-1.0	-25.578947	1.0
295	-1.0	25.578947	0.0
296	-1.0	76.736842	0.0
297	-1.0	127.894737	1.0
298	-1.0	179.052632	0.0
299	-1.0	230.210526	0.0
300	-1.0	281.368421	0.0
301	-1.0	332.526316	1.0
302	-1.0	383.684211	0.0
303	0.0	-76.736842	1.0
304	-1.0	486.0	1.0
305	-1.0	0.0	0.0
306	-1.0	0.0	0.0
307	-1.0	0.0	0.0
308	-1.0	0.0	1.0
309	-1.0	0.0	0.0
310	-1.0	0.0	0.0
311	-1.0	0.0	1.0
312	-1.0	0.0	1.0
313	-1.0	0.0	1.0
314	-1.0	0.0	0.0
315	-1.0	0.0	1.0
316	-1.0	0.0	1.0
317	-1.0	0.0	1.0
318	-1.0	0.0	1.0
319	-1.0	0.0	0.0
320	-1.0	-486.0	0.0
321	-1.0	-434.842105	1.0
322	-1.0	-383.684211	1.0
323	-1.0	-332.526316	0.0
324	-1.0	-281.368421	1.0
325	90.0	332.526316	1.0
326	-1.0	-179.052632	0.0
327	-1.0	-127.894737	0.0
328	-1.0	-76.736842	1.0
329	-1.0	-25.578947	1.0
330	90.0	281.368421	1.0
331	-1.0	76.736842	1.0
332	-1.0	127.894737	1.0
333	-1.0	179.052632	1.0
334	-1.0	230.210526	0.0
335	90.0	230.210526	1.0
336	-1.0	332.526316	0.0
337	-1.0	383.684211	1.0
338	-1.0	434.842105	1.0
339	-1.0	486.0	1.0
340	-1.0	-486.0	0.0
341	-1.0	-434.842105	0.0
342	-1.0	-383.684211	1.0
343	-1.0	-332.526316	1.0
344	-1.0	-281.368421	0.0
345	-1.0	-230.210526	0.0
346	0.0	434.842105	0.0
347	-1.0	-127.894737	0.0
348	-1.0	-76.736842	1.0
349	-1.0	-25.578947	0.0
350	-1.0	25.578947	0.0
351	0.0	25.578947	1.0
352	-1.0	127.894737	1.0
353	-1.0	179.052632	1.0
354	-1.0	230.210526	0.0
355	0.0	179.052632	0.0
356	-1.0	332.526316	0.0
357	-1.0	383.684211	0.0
358	-1.0	434.842105	0.0
359	-1.0	486.0	0.0
360	-1.0	0.0	1.0
361	-1.0	0.0	0.0
362	-1.0	0.0	0.0
363	-1.0	0.0	1.0
364	-1.0	0.0	0.0
